Barrier ID,Site Name,Watershed,Total Habitat Gain per Barrier - Eel,Total Habitat Gain per Barrier - Salmon,Total Habitat Gain per Barrier - Smelt,Type of Rehabilitation,Notes
107883c4-299a-45dd-919b-a6c4921f691e,Old Mill Creek Bridge,North Lake Creek,4.52,5.04,5.34,Removal/decommissioned,The old bridge was removed in 2024 and the road was decommissioned. The stream channel has been remediated and follow up assessments confirm it is fully passable and fish are upstream
92fcfe38-a4af-4578-84a5-c0c42b07ce54,Hay River beach ,Hay River,2.31,6.66,2.26,Structures removed and new bridge installed,"2026 Update: Structures have been removed and replaced with a bridge, fully passable"
